,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
1884,0.03304951505582615,011e8_01884,3,2,0.1,0.7759432120354227,2,2,64,3,1
172,0.03305067445822156,011e8_00172,2,2,0.1,0.2719876947540013,1,2,32,1,2
1743,0.03305466017086492,011e8_01743,3,2,0.1,0.12675612505631062,2,1,16,3,1
209,0.03305631751933922,011e8_00209,2,2,0.01,0.72378827522011,1,2,128,2,3
440,0.03305944591956547,011e8_00440,2,2,0.1,0.8904688458953414,1,8,16,1,3
204,0.03306039880012027,011e8_00204,2,2,0.01,0.1962276054585476,1,2,64,2,1
2026,0.03306477335121515,011e8_02026,3,2,0.001,0.43061061971455217,2,8,8,1,2
252,0.033081227587196026,011e8_00252,2,2,0.01,0.6531694435813147,1,2,128,3,1
2101,0.033081349966832464,011e8_02101,3,2,0.1,0.4598474739775049,2,8,8,2,2
32,0.033085738457432165,011e8_00032,2,2,0.1,0.88563492754055,1,1,8,1,3
1968,0.03310171398663316,011e8_01968,3,2,0.1,0.33090204906814275,2,4,16,2,1
239,0.033103329239089874,011e8_00239,2,2,0.001,0.648947539493891,1,2,128,3,3
2151,0.0331069746056588,011e8_02151,3,2,0.1,0.5044747505849415,2,8,32,3,1
722,0.03311546737445833,011e8_00722,2,2,0.001,0.2198693972002156,2,2,8,2,3
2149,0.03311673129118112,011e8_02149,3,2,0.1,0.5474041935536303,2,8,16,3,2
212,0.03312005618202518,011e8_00212,2,2,0.1,0.8362519400896482,1,2,8,2,3
500,0.03312034010525333,011e8_00500,2,2,0.001,0.6791672038974861,1,8,16,3,3
1992,0.03312467977433178,011e8_01992,3,2,0.001,0.6771479518034625,2,4,128,3,1
1822,0.03312852077192196,011e8_01822,3,2,0.01,0.4141860944545752,2,2,32,2,2
31,0.03313864061160443,011e8_00031,2,2,0.1,0.14917381343212838,1,1,8,1,2
227,0.03314047059942086,011e8_00227,2,2,0.001,0.31448976365525194,1,2,8,3,3
1031,0.03314357558106464,011e8_01031,2,2,0.1,0.7629341852746723,2,8,64,2,3
316,0.03314906133628258,011e8_00316,2,2,0.001,0.863835258294169,1,4,8,2,2
1813,0.03315530285517793,011e8_01813,3,2,0.001,0.634070644389242,2,2,128,2,2
1,0.033155807820444645,011e8_00001,2,2,0.001,0.7657920868458283,1,1,8,1,2
1796,0.03315612905595475,011e8_01796,3,2,0.1,0.5717847259467246,2,2,64,1,3
1871,0.03316021182100094,011e8_01871,3,2,0.01,0.7826497487549938,2,2,64,3,3
2105,0.03317530228421992,011e8_02105,3,2,0.1,0.7387716864060078,2,8,16,2,3
346,0.033190921700471374,011e8_00346,2,2,0.1,0.7215590769529767,1,4,8,2,2
35,0.03319195320196576,011e8_00035,2,2,0.1,0.13435265793204182,1,1,16,1,3
304,0.03321590500698433,011e8_00304,2,2,0.1,0.7762872312505031,1,4,16,1,2
438,0.03321727366249956,011e8_00438,2,2,0.1,0.2883067735896144,1,8,16,1,1
1654,0.03322703099741078,011e8_01654,3,2,0.1,0.7114831175923513,2,1,16,1,2
1737,0.03323016150519158,011e8_01737,3,2,0.01,0.8532347613280321,2,1,128,3,1
487,0.03324484227691041,011e8_00487,2,2,0.1,0.3856660468876931,1,8,32,2,2
439,0.03324646408861612,011e8_00439,2,2,0.1,0.2702977239478133,1,8,16,1,2
1784,0.03325086295909255,011e8_01784,3,2,0.01,0.48978042916000475,2,2,128,1,3
529,0.03327906170315425,011e8_00529,2,2,0.1,0.33662478671653073,1,8,16,3,2
455,0.033279351752272555,011e8_00455,2,2,0.001,0.6833532512746835,1,8,16,2,3
1788,0.03328013507795738,011e8_01788,3,2,0.1,0.4013310748032968,2,2,16,1,1
419,0.03328160785025629,011e8_00419,2,2,0.001,0.40606460923722876,1,8,128,1,3
940,0.03328319450009654,011e8_00940,2,2,0.1,0.40646709369262846,2,4,64,3,2
282,0.03328811244914767,011e8_00282,2,2,0.001,0.7334884789127082,1,4,128,1,1
1778,0.033291932181415865,011e8_01778,3,2,0.01,0.5096552346727752,2,2,32,1,3
1883,0.03331312850347311,011e8_01883,3,2,0.1,0.6962317984890372,2,2,32,3,3
527,0.03331937554322559,011e8_00527,2,2,0.1,0.8967854247803434,1,8,8,3,3
1749,0.033323695224094695,011e8_01749,3,2,0.1,0.5243580539346228,2,1,64,3,1
779,0.03332536285185363,011e8_00779,2,2,0.001,0.5946062221597082,2,2,128,3,3
394,0.033328685207551,011e8_00394,2,2,0.1,0.895173593486765,1,4,16,3,2
