,mse_score,trial_id,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
228,0.03979256055862159,278d2_00228,0.8596003115679641,2,2,16,1,1
311,0.03979351932704735,278d2_00311,0.21610775140530178,2,4,64,3,3
260,0.03981862974770386,278d2_00260,0.8339377735722986,2,2,16,3,3
230,0.039888342815805944,278d2_00230,0.805459738090344,2,2,16,1,3
242,0.03991215742325681,278d2_00242,0.6291271529160631,2,2,8,2,3
257,0.039928496399087916,278d2_00257,0.6428405205876593,2,2,8,3,3
195,0.04003973377456807,278d2_00195,0.45271824611634026,2,1,8,2,1
236,0.0401250281720806,278d2_00236,0.5003112930841288,2,2,64,1,3
239,0.04016337742084779,278d2_00239,0.6995393416288893,2,2,128,1,3
136,0.04021693266300035,278d2_00136,0.8470510733391817,1,8,8,1,2
226,0.04023597927857909,278d2_00226,0.649840483225208,2,2,8,1,2
261,0.04041592443563875,278d2_00261,0.6871730960353979,2,2,32,3,1
180,0.04043280301620007,278d2_00180,0.2570823522160513,2,1,8,1,1
227,0.04053118361580987,278d2_00227,0.5611087899088365,2,2,8,1,3
197,0.0405802103536202,278d2_00197,0.2430727855222382,2,1,8,2,3
221,0.040583234378113744,278d2_00221,0.816948445540629,2,1,64,3,3
253,0.04059150293796716,278d2_00253,0.3851885652404926,2,2,128,2,2
250,0.040711293747262824,278d2_00250,0.11119787963802939,2,2,64,2,2
212,0.04071993624884692,278d2_00212,0.5296024673409864,2,1,8,3,3
264,0.04084645632415615,278d2_00264,0.7020756579807904,2,2,64,3,1
232,0.0409057127926407,278d2_00232,0.865096687471233,2,2,32,1,2
269,0.04094410264101557,278d2_00269,0.7856791148823755,2,2,128,3,3
199,0.04100358160717349,278d2_00199,0.17638965460807388,2,1,16,2,2
223,0.04101698285432367,278d2_00223,0.4684803708003965,2,1,128,3,2
233,0.041029660426197816,278d2_00233,0.5752270639814947,2,2,32,1,3
341,0.041034573418672136,278d2_00341,0.6784918127232338,2,8,64,2,3
234,0.04103698732367805,278d2_00234,0.3315499648460638,2,2,64,1,1
238,0.041059114245051036,278d2_00238,0.7854656952578627,2,2,128,1,2
240,0.04114699618374815,278d2_00240,0.5600932901017076,2,2,8,2,1
298,0.04117750318647507,278d2_00298,0.4175973786262135,2,4,128,2,2
343,0.04130165954055272,278d2_00343,0.5953594072151577,2,8,128,2,2
210,0.04133782767089665,278d2_00210,0.6548513387168289,2,1,8,3,1
219,0.041399001056944475,278d2_00219,0.8903902522576264,2,1,64,3,1
231,0.041883564130934386,278d2_00231,0.6878232792554508,2,2,32,1,1
225,0.04198824660938388,278d2_00225,0.7236332347726455,2,2,8,1,1
251,0.04202740076258563,278d2_00251,0.6698602842039346,2,2,64,2,3
266,0.042094411431763276,278d2_00266,0.641878296549436,2,2,64,3,3
249,0.042170242428217944,278d2_00249,0.6331138044099254,2,2,64,2,1
254,0.042348604646188476,278d2_00254,0.18990448674564445,2,2,128,2,3
246,0.042453581359372515,278d2_00246,0.29234367152858276,2,2,32,2,1
216,0.042593634099070576,278d2_00216,0.5040614543536857,2,1,32,3,1
222,0.04278478094746064,278d2_00222,0.5163765838345716,2,1,128,3,1
218,0.042821283662019254,278d2_00218,0.47852361088024176,2,1,32,3,3
263,0.04282308636483627,278d2_00263,0.8921642756866904,2,2,32,3,3
143,0.04300186223548542,278d2_00143,0.1756481213355361,1,8,32,1,3
235,0.04310236650287818,278d2_00235,0.40786354312664785,2,2,64,1,2
182,0.04329920186194649,278d2_00182,0.1787924147099762,2,1,8,1,3
200,0.04334710050027662,278d2_00200,0.7784826049002502,2,1,16,2,3
229,0.04353990326438048,278d2_00229,0.20172639902209755,2,2,16,1,2
213,0.04363482332911108,278d2_00213,0.2348985492945868,2,1,16,3,1
205,0.04371509743347576,278d2_00205,0.4499828820633044,2,1,64,2,2
155,0.043723020956547315,278d2_00155,0.6247363015244923,1,8,16,2,3
314,0.04393307748926407,278d2_00314,0.6850652357256741,2,4,128,3,3
248,0.04403013917584981,278d2_00248,0.2054278044327881,2,2,32,2,3
89,0.04433427405852612,278d2_00089,0.49975194013621294,1,2,128,3,3
299,0.04444203864617346,278d2_00299,0.27941858119290186,2,4,128,2,3
203,0.04490764906296123,278d2_00203,0.8723505849196506,2,1,32,2,3
344,0.04499026455006975,278d2_00344,0.7782605001680365,2,8,128,2,3
192,0.0452457830324945,278d2_00192,0.48528004749480746,2,1,128,1,1
47,0.04549667768032447,278d2_00047,0.512819178863772,1,2,8,1,3
202,0.045637633623710476,278d2_00202,0.2575725880971607,2,1,32,2,2
208,0.045736513876774514,278d2_00208,0.5464084616076138,2,1,128,2,2
175,0.04587116530231663,278d2_00175,0.2814346443841039,1,8,64,3,2
297,0.04595813586637707,278d2_00297,0.7364910067593865,2,4,128,2,1
198,0.04601256199335658,278d2_00198,0.6268764568076689,2,1,16,2,1
87,0.046161294013079474,278d2_00087,0.12400993166595642,1,2,128,3,1
201,0.046282967192326926,278d2_00201,0.802650570715804,2,1,32,2,1
147,0.04640561000267607,278d2_00147,0.6014987300438988,1,8,128,1,1
252,0.0465576305288612,278d2_00252,0.46189243466212837,2,2,128,2,1
190,0.046701862785135294,278d2_00190,0.4042964936201192,2,1,64,1,2
357,0.04681147973840373,278d2_00357,0.2183758625665095,2,8,128,3,1
121,0.04705286565551512,278d2_00121,0.13994215046137964,1,4,8,3,2
117,0.047067539963505794,278d2_00117,0.17909923246887685,1,4,128,2,1
111,0.04708447793090667,278d2_00111,0.7165631303548018,1,4,32,2,1
148,0.047116357693795144,278d2_00148,0.6808641823516904,1,8,128,1,2
129,0.04715597683764156,278d2_00129,0.1209938545587459,1,4,64,3,1
146,0.04716218596567735,278d2_00146,0.8800845268576393,1,8,64,1,3
207,0.04722433770782473,278d2_00207,0.5949773181992322,2,1,128,2,1
114,0.047242674543452025,278d2_00114,0.5754107100053392,1,4,64,2,1
102,0.04742360939130448,278d2_00102,0.8164978906335083,1,4,128,1,1
193,0.047468840719208656,278d2_00193,0.7558178055654815,2,1,128,1,2
103,0.047532751979842226,278d2_00103,0.2573091947377682,1,4,128,1,2
69,0.04757180446068608,278d2_00069,0.6214228060725878,1,2,64,2,1
0,0.047597011719119446,278d2_00000,0.49677520941190234,1,1,8,1,1
80,0.047648237117004576,278d2_00080,0.24469666377650548,1,2,16,3,3
160,0.047722104246070055,278d2_00160,0.741800716028057,1,8,64,2,2
83,0.04774969053020485,278d2_00083,0.816232965523911,1,2,32,3,3
178,0.0477725508347682,278d2_00178,0.8391581304391316,1,8,128,3,2
159,0.047833479745730746,278d2_00159,0.7876367977166435,1,8,64,2,1
124,0.047903643713299526,278d2_00124,0.3941119394767527,1,4,16,3,2
149,0.04792667712750268,278d2_00149,0.23712338956973067,1,8,128,1,3
137,0.0479945302007024,278d2_00137,0.33569424312559604,1,8,8,1,3
113,0.0480255009479635,278d2_00113,0.7813836127652237,1,4,32,2,3
145,0.048060120456496415,278d2_00145,0.13998462196411154,1,8,64,1,2
110,0.04811930456356445,278d2_00110,0.2001858199684625,1,4,16,2,3
116,0.04819056398009827,278d2_00116,0.538327438132843,1,4,64,2,3
179,0.04821030267284545,278d2_00179,0.7795916709307669,1,8,128,3,3
78,0.04823838073669132,278d2_00078,0.7351100500394953,1,2,16,3,1
162,0.048356820381740405,278d2_00162,0.44413996219547014,1,8,128,2,1
156,0.04846511005088991,278d2_00156,0.8976327268350767,1,8,32,2,1
164,0.048515720251971886,278d2_00164,0.6609866036863036,1,8,128,2,3
135,0.04859352221688509,278d2_00135,0.1849460598239837,1,8,8,1,1
123,0.048638129314989814,278d2_00123,0.2584219651675686,1,4,16,3,1
126,0.04863931127140173,278d2_00126,0.8805583344938515,1,4,32,3,1
84,0.04870560533636487,278d2_00084,0.19855719806248234,1,2,64,3,1
128,0.0487514803147451,278d2_00128,0.7152400605505733,1,4,32,3,3
108,0.048864014581778734,278d2_00108,0.7085988993203199,1,4,16,2,1
21,0.0489303187489036,278d2_00021,0.6167067122801007,1,1,32,2,1
71,0.04893104459332896,278d2_00071,0.6628756070806852,1,2,64,2,3
189,0.04898326596708354,278d2_00189,0.7215133131117617,2,1,64,1,1
144,0.04899194501267451,278d2_00144,0.3923543216621348,1,8,64,1,1
194,0.04904700675135283,278d2_00194,0.7773665163726845,2,1,128,1,3
76,0.04913953845046507,278d2_00076,0.7334636950194682,1,2,8,3,2
31,0.04917822325701501,278d2_00031,0.13777012694302676,1,1,8,3,2
131,0.04920165904810692,278d2_00131,0.266297899612284,1,4,64,3,3
33,0.049241268989698606,278d2_00033,0.6988755481343625,1,1,16,3,1
224,0.04924613195576565,278d2_00224,0.31338548330042687,2,1,128,3,3
72,0.04927154414982098,278d2_00072,0.42509647673672546,1,2,128,2,1
141,0.04927625497732029,278d2_00141,0.5050394843531073,1,8,32,1,1
161,0.04928323648240245,278d2_00161,0.6448265134612001,1,8,64,2,3
74,0.04931001886735334,278d2_00074,0.7440290859029809,1,2,128,2,3
104,0.04931742465229127,278d2_00104,0.42025436603548116,1,4,128,1,3
342,0.04934303419804782,278d2_00342,0.2510529611534398,2,8,128,2,1
81,0.04937358246625575,278d2_00081,0.6678333460225763,1,2,32,3,1
157,0.049377268570151615,278d2_00157,0.2060510069202712,1,8,32,2,2
86,0.04940484737198791,278d2_00086,0.2651953061464395,1,2,64,3,3
97,0.04952018127455018,278d2_00097,0.740089263672653,1,4,32,1,2
177,0.049536092059066034,278d2_00177,0.5404930238415048,1,8,128,3,1
41,0.04970943876342566,278d2_00041,0.19636961930980742,1,1,64,3,3
183,0.04981182472483733,278d2_00183,0.7240391005299108,2,1,16,1,1
101,0.04983494789186364,278d2_00101,0.6012953887199796,1,4,64,1,3
63,0.049862302660824746,278d2_00063,0.7436447595386871,1,2,16,2,1
57,0.049923036635487965,278d2_00057,0.5516926679025165,1,2,128,1,1
134,0.04994289497694549,278d2_00134,0.20406365281944724,1,4,128,3,3
7,0.049964647155527835,278d2_00007,0.7246658617538552,1,1,32,1,2
99,0.04998503232247612,278d2_00099,0.5823969316978878,1,4,64,1,1
125,0.049992704503531035,278d2_00125,0.4575943371457354,1,4,16,3,3
13,0.050029994326362154,278d2_00013,0.6781333532525786,1,1,128,1,2
66,0.05007848891148133,278d2_00066,0.766890335371646,1,2,32,2,1
138,0.05010055701033833,278d2_00138,0.3342104629598868,1,8,16,1,1
10,0.05010371368467556,278d2_00010,0.22620558519906606,1,1,64,1,2
204,0.050149599798389996,278d2_00204,0.3844500804520501,2,1,64,2,1
68,0.05016739673535287,278d2_00068,0.23731087771878123,1,2,32,2,3
119,0.05019540899127191,278d2_00119,0.3400746074205062,1,4,128,2,3
39,0.050206768438818127,278d2_00039,0.7668213476533045,1,1,64,3,1
38,0.05021859725334079,278d2_00038,0.16205557893130226,1,1,32,3,3
142,0.050267659121771044,278d2_00142,0.2655486636433049,1,8,32,1,2
152,0.050292036005555193,278d2_00152,0.2638716724707122,1,8,8,2,3
209,0.0503015969817503,278d2_00209,0.5779094062167854,2,1,128,2,3
172,0.05033396780551591,278d2_00172,0.5140107755905358,1,8,32,3,2
171,0.05035198150353998,278d2_00171,0.2064199012803415,1,8,32,3,1
267,0.05041385062287894,278d2_00267,0.3064691644437453,2,2,128,3,1
132,0.05042698575815376,278d2_00132,0.6760170576534781,1,4,128,3,1
65,0.05054953376986464,278d2_00065,0.833235770135275,1,2,16,2,3
12,0.050604497367383726,278d2_00012,0.21163305293301038,1,1,128,1,1
6,0.05063986333482975,278d2_00006,0.3423586547579639,1,1,32,1,1
27,0.050640279051942926,278d2_00027,0.1552642077371436,1,1,128,2,1
59,0.05072201319682369,278d2_00059,0.2841821062987975,1,2,128,1,3
23,0.05077300027294097,278d2_00023,0.6737402041825747,1,1,32,2,3
58,0.05081931980853756,278d2_00058,0.5405284360990984,1,2,128,1,2
36,0.05083484234654597,278d2_00036,0.5359176655197965,1,1,32,3,1
100,0.050858750479410644,278d2_00100,0.6935352617441679,1,4,64,1,2
54,0.05087312660217381,278d2_00054,0.6798838739336186,1,2,64,1,1
18,0.05094476318067348,278d2_00018,0.7605085076375827,1,1,16,2,1
174,0.050966267784081885,278d2_00174,0.14925739484046707,1,8,64,3,1
107,0.05097772393996204,278d2_00107,0.5134702956033681,1,4,8,2,3
98,0.05110132669537899,278d2_00098,0.3475709243731121,1,4,32,1,3
26,0.05114942929476766,278d2_00026,0.3173730954694651,1,1,64,2,3
176,0.051259428816986405,278d2_00176,0.5540303356237999,1,8,64,3,3
62,0.05136061502487429,278d2_00062,0.2937062902462897,1,2,8,2,3
32,0.05136373760849029,278d2_00032,0.6464044554206314,1,1,8,3,3
140,0.051453175287124495,278d2_00140,0.8417982037191335,1,8,16,1,3
75,0.0515282108438982,278d2_00075,0.30433889254179336,1,2,8,3,1
60,0.05164466928313467,278d2_00060,0.4311866450719909,1,2,8,2,1
14,0.0517257017986829,278d2_00014,0.779601789796098,1,1,128,1,3
29,0.051725935487715195,278d2_00029,0.5392291053535289,1,1,128,2,3
20,0.051727154754211975,278d2_00020,0.6910376221373773,1,1,16,2,3
51,0.051752806561335414,278d2_00051,0.7585152046559166,1,2,32,1,1
139,0.05179059087569864,278d2_00139,0.7336344919778153,1,8,16,1,2
24,0.051821954400320426,278d2_00024,0.48319438686662985,1,1,64,2,1
1,0.05193638643612593,278d2_00001,0.6957764556868746,1,1,8,1,2
82,0.05196516099024345,278d2_00082,0.20753953921025597,1,2,32,3,2
48,0.052028759070388175,278d2_00048,0.1807276525208974,1,2,16,1,1
158,0.05210829985596387,278d2_00158,0.8868111193530495,1,8,32,2,3
109,0.05212164492103522,278d2_00109,0.4359330568252986,1,4,16,2,2
153,0.052174417040137214,278d2_00153,0.21771939565535645,1,8,16,2,1
181,0.05222994059172049,278d2_00181,0.15497506346289855,2,1,8,1,2
120,0.05228548488007791,278d2_00120,0.5808136596300678,1,4,8,3,1
77,0.052312286287593913,278d2_00077,0.8996549012129992,1,2,8,3,3
112,0.052384617546654993,278d2_00112,0.888615984428341,1,4,32,2,2
85,0.05239542388301913,278d2_00085,0.7887600301767725,1,2,64,3,2
96,0.052402557339842656,278d2_00096,0.5461589696286718,1,4,32,1,1
90,0.052415465438571604,278d2_00090,0.5589749041646649,1,4,8,1,1
9,0.052476732249545605,278d2_00009,0.6737083749644786,1,1,64,1,1
173,0.05254714798064707,278d2_00173,0.5779061628247913,1,8,32,3,3
17,0.05255785598637128,278d2_00017,0.7798008211222749,1,1,8,2,3
52,0.05257847677211993,278d2_00052,0.5707939108993715,1,2,32,1,2
8,0.05258032168261137,278d2_00008,0.744477895702024,1,1,32,1,3
91,0.052620823238481426,278d2_00091,0.3125403540918395,1,4,8,1,2
55,0.05266517350175483,278d2_00055,0.3265700285587203,1,2,64,1,2
3,0.05270052792117681,278d2_00003,0.5827298108979413,1,1,16,1,1
56,0.05275711180656375,278d2_00056,0.5489621546104315,1,2,64,1,3
53,0.05288266923540747,278d2_00053,0.16143553481338638,1,2,32,1,3
25,0.05288884727478398,278d2_00025,0.6090828044718852,1,1,64,2,2
95,0.05290268614602114,278d2_00095,0.6539910336806514,1,4,16,1,3
118,0.052934118068655465,278d2_00118,0.558883068227438,1,4,128,2,2
46,0.05305222363606447,278d2_00046,0.7571593277042691,1,2,8,1,2
50,0.053079332489147965,278d2_00050,0.252537818179835,1,2,16,1,3
92,0.05311329005185132,278d2_00092,0.17635668192543028,1,4,8,1,3
19,0.05317113771658627,278d2_00019,0.2716716324631795,1,1,16,2,2
61,0.05324809819107967,278d2_00061,0.5306767101139979,1,2,8,2,2
28,0.05330321288002285,278d2_00028,0.15009314622185538,1,1,128,2,2
22,0.0533394627471787,278d2_00022,0.22531124172030081,1,1,32,2,2
11,0.05335660473227168,278d2_00011,0.20258349683562377,1,1,64,1,3
15,0.053513282221874195,278d2_00015,0.3410356500068179,1,1,8,2,1
130,0.05363621910104922,278d2_00130,0.8649559196646166,1,4,64,3,2
115,0.05364052012990945,278d2_00115,0.2504083712905967,1,4,64,2,2
2,0.05374336939048952,278d2_00002,0.7117484846902035,1,1,8,1,3
35,0.05375672575918439,278d2_00035,0.12860474862192808,1,1,16,3,3
105,0.053766533407322195,278d2_00105,0.30166773426000904,1,4,8,2,1
106,0.053766858852076604,278d2_00106,0.8781877882121075,1,4,8,2,2
70,0.05385675148718465,278d2_00070,0.6985183467244209,1,2,64,2,2
93,0.05390748908282314,278d2_00093,0.6587901147995219,1,4,16,1,1
4,0.05396041946152186,278d2_00004,0.4874680678755394,1,1,16,1,2
67,0.05406320285596679,278d2_00067,0.8464829541023343,1,2,32,2,2
45,0.05410825312858627,278d2_00045,0.5568357915478949,1,2,8,1,1
49,0.054176307029654536,278d2_00049,0.25220884879588984,1,2,16,1,2
206,0.05425442116791878,278d2_00206,0.6714607688358075,2,1,64,2,3
37,0.05438259955368899,278d2_00037,0.8388216292908257,1,1,32,3,2
64,0.054429759798553204,278d2_00064,0.7353582686983224,1,2,16,2,2
94,0.054584625769864774,278d2_00094,0.408917314178867,1,4,16,1,2
79,0.05463202096761632,278d2_00079,0.6321586053438286,1,2,16,3,2
191,0.05468740847066989,278d2_00191,0.23566201849531013,2,1,64,1,3
34,0.055009435460736306,278d2_00034,0.5421269388295762,1,1,16,3,2
5,0.05509478789583562,278d2_00005,0.5682954757982095,1,1,16,1,3
186,0.05566608838418653,278d2_00186,0.45647662209251894,2,1,32,1,1
16,0.0558174132658696,278d2_00016,0.5029642591928147,1,1,8,2,2
40,0.056831325169915486,278d2_00040,0.5728996375605584,1,1,64,3,2
122,0.057623156709113915,278d2_00122,0.6311227312152539,1,4,8,3,3
30,0.05772187531245431,278d2_00030,0.6479079988413224,1,1,8,3,1
73,0.05888696281605199,278d2_00073,0.13418592840761034,1,2,128,2,2
184,0.058951891875650114,278d2_00184,0.21049389314378777,2,1,16,1,2
359,0.05976731319714439,278d2_00359,0.15960485745617758,2,8,128,3,3
188,0.06042515796039989,278d2_00188,0.27504710748024164,2,1,32,1,3
185,0.06061378100314395,278d2_00185,0.10758901999372715,2,1,16,1,3
88,0.060887649295361175,278d2_00088,0.8508050829190563,1,2,128,3,2
44,0.06203033173123838,278d2_00044,0.4172783847367836,1,1,128,3,3
187,0.06266973910371987,278d2_00187,0.1156251471715871,2,1,32,1,2
43,0.06292812495136606,278d2_00043,0.24676589589270287,1,1,128,3,2
133,0.0647238066025103,278d2_00133,0.8463906774387784,1,4,128,3,2
163,0.0683233754600865,278d2_00163,0.7991272932202004,1,8,128,2,2
42,0.07316610902923543,278d2_00042,0.7666830156321285,1,1,128,3,1
312,0.08110201195003623,278d2_00312,0.3009978337317196,2,4,128,3,1
